timestamp,source,url,unique_apis,total_calls
2026-03-13T09:27:00.254Z,eus.rubiconproject.com,https://eus.rubiconproject.com/usync.html,20,38
2026-03-13T09:27:00.263Z,cdn.taboola.com,https://cdn.taboola.com/scripts/prebid_iframe_sync.html,24,44
2026-03-13T09:27:00.290Z,js-sec.indexww.com,https://js-sec.indexww.com/um/ixmatch.html,23,897
2026-03-13T09:27:00.297Z,timesofindia.indiatimes.com,https://timesofindia.indiatimes.com/,108,6751
2026-03-13T09:27:00.420Z,acdn.adnxs.com,https://acdn.adnxs.com/dmp/async_usersync.html,24,897
2026-03-13T09:27:00.543Z,timesinternet-d.openx.net,https://timesinternet-d.openx.net/w/1.0/pd,20,38
2026-03-13T09:27:00.636Z,hbx.media.net,https://hbx.media.net/checksync.php?vsSync=1&cs=8&cv=31&https=1&cid=8CUM8C0J2&prvid=2034%2C2033%2C20,24,209
2026-03-13T09:27:01.084Z,eus.rubiconproject.com,https://eus.rubiconproject.com/usync.html?p=medianet,20,38
2026-03-13T09:27:01.625Z,sync.inmobi.com,https://sync.inmobi.com/sync?redirect=https%3A%2F%2Fs.amazon-adsystem.com%2Fecm3%3Fex%3Dinmobi.com%2,20,38
2026-03-13T09:27:01.631Z,hbx.media.net,https://hbx.media.net/cksync.html?cs=8&vsid=4163955925613558000V10&type=ppt&refUrl=&vid=339401088341,20,38
2026-03-13T09:27:01.635Z,ads.pubmatic.com,https://ads.pubmatic.com/AdServer/js/user_sync.html?p=159035&gdpr=0&gdpr_consent=&userIdMacro=(PM_UI,29,1355
2026-03-13T09:27:01.668Z,eus.rubiconproject.com,https://eus.rubiconproject.com/usync.html?p=inmobi&endpoint=us-east,20,38
2026-03-13T09:27:01.759Z,www.google.com,https://www.google.com/recaptcha/api2/aframe,25,48
2026-03-13T09:27:02.225Z,s.amazon-adsystem.com,https://s.amazon-adsystem.com/iu3?cm3ppd=1&d=dtb-pub&csif=t&gdpr=0&dl=n-adobe3pb_n-index_n-LoopMe_n-,20,38
2026-03-13T09:27:02.230Z,s.amazon-adsystem.com,https://s.amazon-adsystem.com/v3/pr?exlist=n-smaato_n-start_n-onetag_pm-db5_n-Ogury_rx_n-acuityads_n,20,38
2026-03-13T09:27:02.399Z,sync.intentiq.com,https://sync.intentiq.com/profiles_engine/ProfilesEngineServlet?at=20&mi=10&dpi=1380607794&gdpr=0,20,38
2026-03-13T09:27:02.444Z,ads.pubmatic.com,https://ads.pubmatic.com/AdServer/js/user_sync.html?p=156011&s=165626&predirect=https%3A%2F%2Fs.amaz,29,1355
